channel,raw,reference,good
input_voltage_mv,6000000,230000,1
input_voltage_mv,6200000,237667,1
input_voltage_mv,6400000,245333,1
input_current_ua,100000,50000,1
input_current_ua,500000,250000,1
input_current_ua,1000000,500000,1
input_active_power_mw,100000,10000,1
input_active_power_mw,250000,25000,1
input_active_power_mw,500000,50000,1
input_frequency_millihz,20000,50000,1
input_frequency_millihz,20000,50000,1
input_frequency_millihz,20000,50000,1
output_voltage_mv,1000,5000,1
output_voltage_mv,2000,10000,1
output_voltage_mv,4000,20000,1
output_current_ua,100,100000,1
output_current_ua,500,500000,1
output_current_ua,900,900000,1
